acceptance_status;acceptance_statuscode;acceptance_timestamp;acceptance_retrycount;interactionmode;createdon;identificationmethod;identity_issuingcountry_code;identity_idcloudanalysis_errormessage;nationality_name
Rejected;RejectedDueToInactivityTimeout;2020-11-23 09:17:44.900;1.0;;28/10/2020 06:57;DOCUMENT;DEU;0;Germany
Approved;IdentityVerificationSucceeded;2020-12-10 11:45:48.663;1.0;NonInteractive;10/12/2020 11:44;DOCUMENT;UKR;0;Ukraine
Approved;IdentityVerificationSucceeded;2020-12-09 09:07:05.637;1.0;NonInteractive;09/12/2020 09:05;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:32:21.207;1.0;NonInteractive;01/02/2021 09:47;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-11-30 15:32:37.407;1.0;NonInteractive;30/11/2020 15:32;ITSME;;0;Belgium
Rejected;UnknownIdentificationMethod;2020-10-26 12:08:21.597;1.0;;26/10/2020 12:07;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:44:59.920;1.0;NonInteractive;30/11/2020 12:22;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:07:03.673;1.0;NonInteractive;22/12/2020 11:43;PROFILE_API_TEST;;0;
Rejected;UnknownIdentificationMethod;2020-11-03 16:07:26.810;1.0;;03/11/2020 15:42;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:37:33.420;1.0;;12/11/2020 10:23;PROFILE_API_TEST;;0;
Rejected;UnknownIdentificationMethod;2020-11-09 16:16:46.673;1.0;;09/11/2020 16:16;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-09-17 13:25:21.993;1.0;;17/09/2020 13:22;DOCUMENT;DEU;0;Germany
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:23:48.100;1.0;NonInteractive;21/01/2021 06:56;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:12:41.813;1.0;NonInteractive;07/01/2021 12:45;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2021-01-05 17:26:39.540;1.0;NonInteractive;05/01/2021 17:25;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToUserInactivity;2021-01-21 11:59:01.677;1.0;NonInteractive;21/01/2021 11:55;DOCUMENT;UKR;1;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:24:19.847;1.0;NonInteractive;21/01/2021 14:44;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-01-13 13:42:01.200;1.0;NonInteractive;13/01/2021 13:30;DOCUMENT;BEL;0;India
Approved;;2020-09-08 16:35:06.053;1.0;;08/09/2020 16:31;DOCUMENT;CZE;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-03-08 08:13:01.010;1.0;NonInteractive;08/03/2021 07:58;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-11-02 08:52:17.927;1.0;;02/11/2020 08:51;ITSME;;0;Belgium
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:39:49.767;1.0;;19/11/2020 09:04;PROFILE_API_TEST;;0;
Rejected;;2020-10-22 19:27:21.183;1.0;;22/10/2020 13:27;DOCUMENT;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 09:46:44.630;1.0;;20/11/2020 16:45;DOCUMENT;UKR;0;Ukraine
Rejected;MaxAllowedRetries;2021-01-18 14:15:15.750;1.0;NonInteractive;18/01/2021 14:13;DOCUMENT;UKR;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:38:26.780;1.0;;16/11/2020 11:46;PROFILE_API_TEST;;0;
Approved;IdentityVerificationSucceeded;2020-12-21 15:28:17.880;1.0;NonInteractive;21/12/2020 15:25;DOCUMENT;CZE;0;Ukraine
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:52:08.697;1.0;;11/09/2020 14:30;DOCUMENT;LTU;0;Lithuania
Rejected;RejectedDueToInactivityTimeout;2021-02-24 15:31:00.807;1.0;NonInteractive;24/02/2021 15:18;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:26:37.890;1.0;NonInteractive;26/01/2021 16:07;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2020-11-23 08:58:49.253;1.0;;06/10/2020 06:13;DOCUMENT;FRA;0;France
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:29:35.670;1.0;NonInteractive;28/01/2021 14:57;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 09:18:49.430;1.0;NonInteractive;15/01/2021 10:48;PROFILE_API_TEST;;0;
Rejected;RejectedDueToInactivityTimeout;2021-02-19 08:51:41.653;1.0;NonInteractive;09/12/2020 10:50;PROFILE_API_TEST;;0;
