,ipRange,ipHop,timeSubmitSec,inList,appHour,label,browserType,inCustType,packageType,weekDayType
0,11990.083692134032,1.0,4.040995948482305,3.0,20.794723529326518,1,vivaldi,N,O,Sun
1,8935.69533292183,0.0,19.91005873726681,0.0,12.065323306894319,0,chrome,Y,D,Mon
2,12059.174472604278,0.0,22.05951461661607,0.0,8.966170709156916,0,chrome,Y,D,Sun
3,12515.888079581082,1.0,2.52264860086143,2.0,20.994365669044292,1,vivaldi,N,L,Fri
4,9617.856914602158,0.0,21.008264433592558,1.0,9.929818628673386,0,edge,Y,G,Thu
5,12813.52753020847,3.0,4.6090267091058195,3.0,22.391640594233685,1,vivaldi,N,O,Fri
6,14959.731702049661,2.0,4.871884087100625,2.0,21.10338129243945,1,firefox,N,O,Sun
7,15708.012482717757,3.0,2.815822791773826,3.0,19.556185107686595,1,opera,N,K,Sun
8,9253.556691562297,1.0,19.932085832580924,0.0,11.849681459715816,0,opera,Y,D,Thu
9,18012.643705719507,1.0,4.109852120745927,3.0,21.669731260406245,1,opera,N,G,Fri
10,15258.548391888635,1.0,22.062005986925215,0.0,12.125074851694626,0,opera,Y,D,Fri
11,9191.278118917677,1.0,18.19063021009788,0.0,10.882992256195779,0,chrome,Y,D,Sun
12,12785.327582568627,3.0,4.500631642527878,3.0,19.35323654716494,1,vivaldi,Y,L,Sun
13,11746.766237502065,5.0,5.352949866093695,2.0,18.10997943740358,1,safari,Y,A,Fri
14,15862.892076178185,0.0,21.91942040529102,0.0,12.004589585212601,0,opera,N,J,Sat
15,15670.704972862944,0.0,21.869100961834192,0.0,11.827269845686116,0,chrome,Y,A,Sun
16,13394.5735903341,0.0,21.846531325019896,0.0,10.886482354863292,0,opera,Y,Q,Sat
17,15313.47430732058,0.0,16.617381654679775,1.0,12.015617689843006,0,edge,Y,R,Sun
18,8937.883279747886,0.0,18.99636797560379,0.0,10.922671500738295,0,safari,Y,G,Sat
19,6205.349638740818,0.0,21.904138977639377,0.0,12.022059232368575,0,chrome,Y,D,Sun
20,15311.381454658309,0.0,20.0284687532112,0.0,10.89463848691405,0,firefox,Y,A,Sun
21,9268.198839013685,1.0,18.931253561284393,0.0,11.859942583228177,0,chrome,N,J,Wed
22,9217.403065409528,0.0,18.028337741736323,0.0,12.093508521712549,0,chrome,Y,S,Sun
23,12371.775376210278,0.0,20.839439189992845,0.0,12.207555626668162,0,edge,Y,D,Mon
24,12015.354143150395,3.0,3.614149071276188,2.0,19.6157132425555,1,vivaldi,N,K,Fri
25,13730.942284370305,1.0,5.73411216493696,3.0,23.0,1,vivaldi,N,K,Fri
26,15485.240594117171,1.0,5.079309086780995,3.0,19.69197442046866,1,vivaldi,N,J,Sun
27,9207.132019547143,1.0,19.063012583646923,0.0,10.947091693791288,0,safari,Y,A,Sun
28,18448.95000061043,2.0,3.63500856468454,3.0,22.017370921773598,1,vivaldi,N,O,Sat
29,18674.0398750205,1.0,17.897959646303207,0.0,6.289533660745633,0,chrome,N,A,Sat
30,2832.0088072678177,0.0,16.661082333885133,0.0,6.705008447460642,0,chrome,Y,A,Fri
31,13488.666087099991,0.0,19.91362976236269,0.0,10.911241086126124,0,safari,N,G,Sun
32,9431.486086582241,0.0,19.836657252628356,0.0,13.792103235319845,0,others,Y,G,Mon
33,12695.858623445043,0.0,17.31660923315212,0.0,11.059652148747587,0,chrome,Y,A,Sun
34,12869.40557353876,1.0,20.936864784453064,0.0,11.143494568254534,0,chrome,Y,J,Fri
35,12916.156997073169,2.0,19.170148566365242,2.0,18.88253173344045,1,firefox,Y,O,Sun
36,26030.732358668796,1.0,19.009760204702616,0.0,14.02302398054393,0,chrome,Y,J,Sun
37,21342.200352573007,1.0,16.626627483405173,0.0,13.726657620880397,0,chrome,Y,A,Sat
38,20690.020750555195,0.0,20.10333605669439,4.0,10.989623800874403,0,chrome,N,A,Fri
39,9009.921299303905,0.0,22.173481804318726,0.0,10.999549640788635,0,safari,Y,M,Sun
40,9566.469629496105,0.0,19.00391862448305,1.0,11.899752958489044,0,edge,N,U,Thu
41,9095.917020234772,0.0,18.002503448631614,0.0,11.871959923138165,0,chrome,N,A,Sat
