,ipRange,ipHop,timeSubmitSec,inList,appHour,label,browserType,inCustType,packageType,weekDayType
0,16522.334247912462,1.0,3.3157329891133434,3.0,21.79201535321331,1,vivaldi,N,O,Sat
1,9199.580875602272,0.0,15.945044510511382,0.0,12.111547203711142,0,chrome,Y,Q,Mon
2,18625.190973949007,0.0,20.076619385605948,0.0,10.99598318997589,0,chrome,Y,D,Sat
3,17383.907044345135,1.0,3.224179197702388,3.0,21.82109410304865,1,opera,N,N,Sun
4,19101.045334244965,0.0,19.243297070488286,1.0,7.131265234026205,0,edge,Y,G,Sat
5,6391.879466037427,0.0,19.925068727167993,0.0,10.030105150882132,0,chrome,Y,A,Sun
6,18338.723856977344,2.0,3.7094717921614655,1.0,12.144648213343848,0,firefox,N,D,Fri
7,18336.868150780705,4.0,5.6366154474699535,3.0,21.637093342958032,1,firefox,N,K,Sun
8,9012.362725663184,1.0,20.997372785795942,0.0,10.980971136081434,0,chrome,Y,G,Sat
9,16039.17559246128,1.0,3.252379620440078,3.0,23.0,1,opera,N,M,Sat
10,14975.720179056556,3.0,1.1118796268294138,3.0,21.681021371519574,0,chrome,N,T,Fri
11,6083.408890649624,1.0,25.290220229698875,0.0,13.320995886239036,0,chrome,Y,G,Sun
12,18008.533798395416,4.0,2.412185827117455,3.0,21.392903421737294,1,vivaldi,Y,N,Fri
13,13247.217003753905,5.0,3.98228238710142,2.0,1.0,1,opera,N,E,Fri
14,6515.145628123102,1.0,19.19087577128982,0.0,11.935979544310444,0,chrome,Y,G,Sun
15,17989.134837695765,1.0,16.805756224197687,1.0,7.600872206511241,0,safari,Y,A,Sat
16,15239.231711841425,1.0,15.023730897254584,0.0,10.176205198986617,0,chrome,Y,Q,Sun
17,18301.098589016514,0.0,18.833929478708633,0.0,10.004167862633759,0,edge,Y,S,Wed
18,9304.319881303058,1.0,16.31706187290854,0.0,7.701133908875372,0,chrome,Y,G,Sat
19,5943.5522806760855,0.0,15.888806160616387,0.0,9.95678286726723,0,others,Y,M,Sat
20,6345.060075630671,0.0,17.70554521076467,0.0,12.802654026134107,0,edge,Y,G,Fri
21,6393.42569861334,1.0,16.20686178325735,0.0,10.10662328285515,0,edge,Y,M,Fri
22,12558.18191233039,0.0,20.216966860101703,0.0,13.398584180711838,0,chrome,N,J,Sun
23,6252.9951761594975,0.0,15.797664604631487,0.0,12.062988296363034,0,edge,Y,Q,Mon
24,21761.58298347082,1.0,2.5451967820756956,3.0,21.89279227408633,1,vivaldi,N,E,Fri
25,16150.581878449948,0.0,19.94721261459346,4.0,10.988189217702153,0,safari,N,A,Fri
26,12159.466391830108,1.0,2.315613934713384,0.0,20.826295645871824,1,vivaldi,N,J,Fri
27,18664.4023607483,1.0,20.729857929079333,0.0,13.60601166306944,0,opera,N,G,Fri
28,15170.626085045997,0.0,19.79477601713463,0.0,9.951506759102665,0,chrome,Y,D,Sun
29,15311.633857043294,1.0,18.904739319046012,0.0,13.25931402008046,0,chrome,Y,D,Fri
30,5943.065542040815,1.0,22.289179069407204,0.0,11.034516805588805,0,chrome,Y,G,Fri
31,27007.261902527556,0.0,20.089292500314205,0.0,8.902327150754676,0,safari,Y,G,Sat
32,3464.8319655211913,0.0,21.123763774286523,1.0,12.013278379490314,0,others,Y,G,Mon
33,14232.771476204869,2.0,3.3328638686994654,3.0,1.8716514938629774,1,firefox,N,F,Fri
34,9581.191013314141,1.0,16.618282798874272,0.0,13.555474080932482,0,chrome,N,M,Fri
35,14560.863261615077,2.0,0.0,3.0,21.26638623123446,1,opera,N,K,Sat
36,18347.904707014743,2.0,4.176679106240564,3.0,21.997142399213782,1,firefox,N,K,Sat
37,6484.649254762444,0.0,17.613343245370164,1.0,11.911614075309203,0,chrome,Y,G,Sat
38,15003.95043686706,0.0,21.277970737813618,6.0,12.211711678678508,0,chrome,Y,A,Wed
39,9480.344135721813,1.0,19.79134853110872,0.0,10.023245008888361,0,safari,Y,G,Sat
40,9578.486944834342,0.0,20.982982110997213,0.0,8.072646448710273,0,safari,Y,R,Sat
41,2843.7055794332027,0.0,19.95639266909946,0.0,10.06609494093457,0,chrome,Y,G,Sun
42,19282.983608730778,2.0,2.6089820294011634,0.0,17.860133191582253,0,firefox,N,M,Sat
43,12407.001431767467,0.0,17.341751559158794,5.0,8.395398855579527,0,chrome,N,J,Sun
44,16298.373180644565,0.0,22.327451200058462,1.0,11.942515086131973,0,edge,Y,G,Sat
45,9474.5098533624,0.0,19.018593005459856,0.0,8.038568520979991,0,chrome,Y,G,Sat
