,ipRange,ipHop,timeSubmitSec,inList,appHour,label,browserType,inCustType,packageType,weekDayType
0,18231.0,1.0,11.0,1.0,13.0,1,edge,Y,J,Sun
1,19179.0,0.0,14.0,0.0,10.0,0,edge,N,D,Sun
2,4106.0,1.0,15.0,0.0,13.0,0,safari,Y,G,Sat
3,18010.0,0.0,21.0,0.0,7.0,0,safari,Y,D,Thu
4,7349.0,0.0,15.0,0.0,13.0,0,safari,N,D,Fri
5,15628.0,1.0,20.0,0.0,10.0,1,chrome,N,D,Sat
6,13891.0,0.0,20.0,0.0,11.0,0,opera,Y,D,Sun
7,5217.0,0.0,24.0,0.0,12.0,0,chrome,N,G,Sat
8,27129.0,1.0,6.0,1.0,12.0,0,opera,N,L,Sun
9,12169.0,1.0,17.0,0.0,5.0,1,edge,Y,D,Sun
10,3494.0,0.0,25.0,0.0,5.0,0,chrome,Y,G,Sun
11,13774.0,0.0,25.0,0.0,4.0,0,firefox,Y,A,Sun
12,8418.0,1.0,20.0,3.0,3.0,1,edge,N,L,Fri
13,6463.0,3.0,10.0,3.0,11.0,0,others,N,M,Sat
14,17715.0,0.0,6.0,3.0,13.0,1,vivaldi,Y,D,Fri
15,15988.0,1.0,12.0,0.0,9.0,1,safari,N,J,Sat
16,10620.0,2.0,7.0,3.0,13.0,1,chrome,Y,M,Fri
17,12159.0,0.0,19.0,0.0,14.0,0,vivaldi,N,D,Wed
18,24408.0,2.0,0.0,3.0,21.0,1,chrome,N,L,Thu
19,6842.0,0.0,10.0,0.0,15.0,1,opera,Y,J,Fri
20,20928.0,2.0,0.0,3.0,19.0,1,vivaldi,Y,H,Sun
21,4392.0,0.0,22.0,0.0,2.0,0,chrome,Y,A,Sun
22,16262.0,1.0,19.0,0.0,9.0,0,safari,Y,D,Fri
23,16027.0,0.0,5.0,0.0,23.0,0,chrome,N,G,Sat
24,8029.0,0.0,22.0,0.0,8.0,0,edge,Y,K,Sun
25,16604.0,1.0,20.0,1.0,9.0,0,edge,Y,J,Sat
26,10865.0,1.0,10.0,3.0,14.0,0,safari,Y,D,Fri
27,14340.0,0.0,23.0,0.0,7.0,0,safari,Y,A,Fri
28,9057.0,0.0,22.0,0.0,12.0,0,safari,Y,J,Fri
29,22336.0,1.0,6.0,0.0,15.0,1,others,Y,M,Sun
30,7979.0,1.0,11.0,2.0,9.0,1,chrome,Y,N,Sat
31,13369.0,0.0,17.0,0.0,16.0,1,chrome,Y,M,Sat
32,17890.0,0.0,23.0,0.0,10.0,0,vivaldi,N,A,Sun
33,9786.0,2.0,18.0,0.0,19.0,0,edge,N,D,Sun
34,10645.0,0.0,16.0,0.0,11.0,1,edge,N,M,Sat
35,4848.0,1.0,18.0,0.0,11.0,0,chrome,Y,D,Fri
36,18145.0,0.0,22.0,0.0,13.0,0,firefox,Y,A,Sun
37,10292.0,1.0,10.0,0.0,14.0,0,chrome,Y,I,Sun
38,14342.0,0.0,23.0,0.0,9.0,0,edge,Y,G,Sat
39,17969.0,0.0,18.0,1.0,13.0,0,vivaldi,Y,G,Sun
40,11497.0,1.0,21.0,2.0,10.0,0,safari,Y,D,Sun
41,5341.0,0.0,18.0,0.0,10.0,0,edge,Y,G,Fri
42,6126.0,0.0,8.0,1.0,9.0,0,safari,Y,A,Fri
43,28831.0,0.0,23.0,0.0,13.0,0,firefox,Y,G,Fri
44,5945.0,0.0,24.0,0.0,16.0,0,chrome,Y,G,Sat
45,9666.0,0.0,17.0,0.0,6.0,0,vivaldi,Y,M,Sat
46,1393.0,0.0,26.0,0.0,12.0,0,firefox,Y,A,Fri
47,18718.0,2.0,21.0,1.0,11.0,0,firefox,N,D,Sun
48,5071.0,0.0,20.0,0.0,8.0,0,chrome,Y,G,Sat
49,21851.0,0.0,9.0,2.0,20.0,0,vivaldi,N,M,Sat
50,19192.0,0.0,12.0,3.0,9.0,1,vivaldi,N,D,Fri
51,22534.0,0.0,26.0,0.0,7.0,0,edge,Y,A,Sun
52,6220.0,0.0,13.0,0.0,13.0,0,chrome,N,G,Sun
53,19171.0,0.0,22.0,0.0,12.0,0,firefox,Y,G,Sat
54,13030.0,2.0,11.0,3.0,19.0,1,chrome,Y,O,Fri
55,11570.0,0.0,13.0,0.0,11.0,0,safari,Y,D,Sun
56,15701.0,1.0,0.0,2.0,20.0,1,edge,N,N,Sun
57,19152.0,1.0,17.0,0.0,16.0,0,safari,N,G,Sun
58,20645.0,0.0,18.0,0.0,7.0,1,vivaldi,Y,M,Sat
59,13850.0,0.0,25.0,0.0,16.0,0,firefox,Y,G,Fri
60,9814.0,0.0,25.0,0.0,10.0,0,safari,Y,G,Sun
61,7396.0,2.0,13.0,0.0,15.0,0,safari,N,N,Sat
62,5050.0,2.0,22.0,0.0,20.0,0,edge,N,D,Wed
63,15298.0,1.0,17.0,0.0,10.0,0,edge,N,O,Sat
64,8439.0,1.0,20.0,1.0,16.0,0,vivaldi,N,G,Sun
65,10334.0,1.0,21.0,0.0,13.0,0,edge,Y,D,Sun
66,10422.0,0.0,25.0,0.0,4.0,0,edge,Y,A,Sat
67,12384.0,0.0,17.0,0.0,10.0,1,edge,N,D,Sat
68,12183.0,0.0,21.0,0.0,9.0,0,safari,Y,D,Sun
69,17809.0,1.0,22.0,3.0,5.0,0,chrome,N,D,Fri
70,9679.0,0.0,19.0,0.0,19.0,0,edge,Y,O,Fri
71,9207.0,0.0,19.0,0.0,17.0,0,edge,Y,A,Fri
72,15852.0,1.0,17.0,0.0,9.0,0,vivaldi,N,A,Sun
73,15013.0,1.0,13.0,3.0,22.0,0,opera,N,L,Fri
74,8973.0,0.0,23.0,0.0,5.0,0,chrome,Y,A,Sun
75,14522.0,0.0,25.0,0.0,7.0,0,safari,Y,G,Wed
76,2740.0,0.0,23.0,0.0,8.0,0,safari,Y,A,Sat
77,11600.0,0.0,15.0,1.0,7.0,0,safari,Y,J,Sun
78,24490.0,1.0,20.0,0.0,11.0,0,chrome,Y,A,Sun
79,18180.0,0.0,19.0,0.0,13.0,0,edge,N,D,Sat
80,10244.0,0.0,20.0,0.0,18.0,0,edge,N,A,Sun
81,22671.0,0.0,5.0,3.0,19.0,0,vivaldi,Y,L,Sat
82,15091.0,0.0,15.0,0.0,10.0,0,firefox,Y,J,Sun
83,9585.0,0.0,20.0,0.0,14.0,0,safari,Y,O,Sun
84,7971.0,0.0,11.0,0.0,14.0,1,safari,N,P,Fri
85,6368.0,0.0,25.0,0.0,15.0,0,safari,N,A,Sun
86,23817.0,0.0,18.0,0.0,19.0,0,chrome,N,J,Sun
87,8995.0,0.0,17.0,0.0,16.0,0,safari,Y,N,Fri
88,22527.0,0.0,13.0,2.0,14.0,0,safari,N,P,Sat
89,3792.0,1.0,19.0,0.0,21.0,0,edge,N,D,Sat
90,20274.0,1.0,9.0,2.0,14.0,0,opera,Y,M,Sat
91,9822.0,0.0,17.0,0.0,10.0,0,edge,Y,A,Sun
92,24249.0,3.0,6.0,2.0,15.0,1,chrome,Y,K,Sun
93,14300.0,1.0,14.0,0.0,12.0,1,vivaldi,Y,D,Sun
94,9980.0,2.0,13.0,0.0,11.0,1,vivaldi,Y,G,Thu
95,4718.0,0.0,20.0,0.0,7.0,0,edge,N,A,Sat
96,8568.0,1.0,17.0,1.0,10.0,0,edge,Y,A,Sun
97,17234.0,0.0,12.0,0.0,13.0,0,chrome,Y,G,Sun
98,9427.0,0.0,19.0,1.0,8.0,0,safari,Y,G,Sun
99,10694.0,1.0,15.0,2.0,11.0,0,chrome,N,G,Sun
100,10982.0,1.0,17.0,0.0,11.0,0,edge,Y,D,Sat
101,10308.0,0.0,1.0,3.0,15.0,1,chrome,Y,M,Fri
102,18918.0,3.0,8.0,0.0,22.0,1,vivaldi,N,J,Thu
103,8481.0,0.0,21.0,0.0,10.0,0,edge,N,G,Sun
104,24353.0,0.0,13.0,0.0,19.0,0,vivaldi,N,D,Sat
105,20410.0,0.0,26.0,0.0,7.0,0,edge,Y,A,Fri
106,28621.0,2.0,0.0,2.0,22.0,1,chrome,N,M,Sun
107,8157.0,0.0,17.0,0.0,9.0,0,edge,Y,A,Fri
108,14577.0,2.0,9.0,3.0,12.0,0,vivaldi,Y,D,Fri
109,5501.0,0.0,26.0,0.0,3.0,0,firefox,Y,A,Sat
110,21020.0,0.0,25.0,0.0,3.0,0,firefox,Y,A,Sun
111,15749.0,0.0,22.0,0.0,12.0,0,chrome,Y,G,Sun
112,17805.0,1.0,8.0,3.0,7.0,0,vivaldi,Y,D,Thu
113,8140.0,0.0,22.0,0.0,3.0,0,safari,Y,G,Sat
114,8160.0,1.0,15.0,0.0,13.0,1,safari,Y,D,Fri
115,9368.0,0.0,20.0,0.0,17.0,0,chrome,Y,A,Sat
116,3922.0,0.0,22.0,0.0,12.0,0,firefox,N,A,Sun
117,15378.0,1.0,10.0,0.0,14.0,0,vivaldi,N,D,Sat
118,11781.0,0.0,25.0,0.0,7.0,0,chrome,Y,A,Sun
