,Unnamed: 0,Company,Customer Number,Account Number,Subscription Number,Phone Number,Product Line,Product Family,Produit,Client,VOICE IN (Min),VOICE OUT (Min),Message,Data
0,0,VOYAGES EMILE WEBER SÀRL,28066634,27441597,6124322,+1-814-725-7916x142,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,77.77636728476283,0.28747905475238156,2,16.98739556765273
1,1,SLA S.A. C/O CAMIONNETTE,28065099,27441597,5697106,+1-995-619-4831x313,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.8067440577814103,0.8890511446218708,101,34.131343623482195
2,2,SLA S.A C/O BUS,28066634,27441597,5673260,4023526871,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.016961500619566885,0.005050759964953477,0,928.0348766801138
3,3,SALES-LENTZ AUTOCARS S.A – EXECUTIVE LANE,21476788,27441597,4760559,352-274-5905x29231,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,1129.2846914947252,2823.096150285247,444,148.0625322640278
4,4,SLA S.A. C/O CAMIONNETTE,21026219,27441597,4815810,888-871-5261x231,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,461.7097184171808,214.919515348453,129,0.22711861223231883
5,5,VOYAGES EMILE WEBER SÀRL,25308956,27441597,2933003,+1-941-589-6094x16353,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,85.75048881858893,475.7766973304503,2,1.7212504022540084e-09
6,6,SLA S.A C/O BUS,21024166,24887338,4810158,(724)521-5832,MOBILE,Enterprise,LUX_MOBILE_ADSL_V6_EU_LARGE,EW,900.2614918059479,2770.1318655501823,169,4.085827676064209
7,7,SLA S.A C/O BUS,21023952,27439048,3689270,854-265-9165,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,3408.7630845049393,1757.9008329026992,223,0.7770498927842087
8,8,SALES LENTZ GROUP,25709767,21194540,2644586,802-423-2496,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,108.99024729235234,148.05267454585606,0,0.9811713939458487
9,9,VOYAGES EMILE WEBER SÀRL,28049260,27285873,6049053,(634)717-5179x15631,MOBILE,Corporate,LUX_MOBILE_ADSL_V6_LU_EXTRA_LARGE,EW,8.223323818435892,112.8660879104628,2,2.4010292547851724e-08
10,10,SALES LENTZ AUTOCARS SA,28066634,21022650,6037394,715-581-8529x31678,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,19.34997164431914,0.4371017746895679,0,535.823317920945
11,11,SLA S.A C/O BUS,21023952,21138724,3382775,910.587.6667x72844,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,379.56389757179346,1619.22441274404,147,0.11008063899011884
12,12,SLA S.A. C/O CAMIONNETTE,28066634,27441597,5941745,275-885-0295x5336,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,EW,284.71318708981374,38.51103208486105,735,40.89272041878018
13,13,SALES-LENTZ AUTOCARS S.A – EXECUTIVE LANE,22679325,26669150,2242694,886-307-9715,MOBILE,Enterprise,LUX_MOBILE_ADSL_V6_EU_CONNECTED_PACK,SL,1126.3763846347674,523.90958624978,94,28.49772990443059
14,14,VOYAGES EMILE WEBER SÀRL,27692497,27441597,4178015,+1-294-806-4548x522,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,29.678861253244957,27.57322885229276,0,0.09632271769529623
15,15,SLA S.A. C/O CAMIONNETTE,28066634,27441597,6123059,001-506-494-2806x6442,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,0.01666784261353955,0.017378057799248812,0,1148.8269220673888
16,16,SALES LENTZ,21103400,22492350,130874,(492)643-9159x214,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,EW,841.3311662140275,3422.780724455907,373,13.054303000104664
17,17,SLA S.A. C/O CAMIONNETTE,28066634,27441597,5474098,(412)777-8759x6314,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,5.812499356759256,0.23483020396137336,0,1.8177662242055788
18,18,SLA S.A C/O BUS,28063216,27441597,5175835,+1-726-963-1221x3823,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,1.5079213058169156,31.359689473967844,124,0.16838720004304425
19,19,VOYAGES EMILE WEBER SÀRL,27972122,21064615,4423682,273.630.8422x23451,MOBILE,smart,LUX_POST_TAN_ENTERPRISE,SL,15.692857290677694,221.41591163007251,122,53.39166201288922
20,20,VOYAGES EMILE WEBER SÀRL,28040918,21022680,5409811,8862638047,MOBILE,Enterprise,LUX_SMART_V6_XL_PACKAGE,SL,258.5455049023935,57.30455954350846,18,3.3635740386401984
21,21,SLA S.A C/O BUS,21942985,27441597,6028087,355.222.2178,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,6.947620235218915,5.238459563507717,9,60.57233199063684
22,22,VOYAGES EMILE WEBER SÀRL,28066634,27441597,5693179,001-590-999-2182x8659,MOBILE,Enterprise,LUX_SMART_V08_L_PACKAGE,SL,6.983159699440693,3.221847498059002,18,1898.7450086228496
23,23,SLA S.A C/O BUS,28065219,27441597,4334656,001-729-228-7162x9784,MOBILE,Enterprise,LUX_POST_TAN_ENTERPRISE,SL,2.6845564729547844,385.2981221280129,58,3.9737967028782823
