app_id,app_status,ipRange,ipHop,timeSubmitSec,browser,package,inList,inCust,weekDay,appHour,score
0,valid,12307.0,0.0,20.0,3.0,0.0,0.0,1,6.0,11.0,0
1,valid,15384.0,0.0,18.0,2.0,6.0,0.0,1,6.0,11.0,0
2,valid,9230.0,0.0,18.0,0.0,3.0,0.0,0,6.0,10.0,0
3,valid,6153.0,1.0,20.0,0.0,0.0,0.0,1,6.0,10.0,0
4,valid,21538.0,1.0,21.0,1.0,9.0,0.0,0,3.0,11.0,0
5,valid,18461.0,1.0,19.0,3.0,3.0,0.0,0,5.0,9.0,0
6,valid,3076.0,0.0,23.0,1.0,0.0,0.0,0,4.0,10.0,0
7,valid,9230.0,1.0,18.0,1.0,6.0,0.0,1,3.0,11.0,0
8,valid,9230.0,0.0,18.0,1.0,9.0,0.0,0,4.0,8.0,0
9,valid,9230.0,0.0,20.0,1.0,6.0,1.0,1,6.0,7.0,0
10,valid,15384.0,1.0,19.0,0.0,3.0,1.0,1,5.0,9.0,0
11,valid,9230.0,1.0,19.0,3.0,3.0,0.0,1,4.0,12.0,0
12,valid,15384.0,0.0,16.0,1.0,0.0,0.0,1,5.0,10.0,0
13,valid,12307.0,0.0,23.0,2.0,9.0,0.0,0,6.0,6.0,0
14,valid,3076.0,1.0,22.0,0.0,3.0,0.0,1,4.0,8.0,0
15,valid,6153.0,0.0,20.0,1.0,6.0,0.0,1,6.0,6.0,0
16,valid,27692.0,0.0,22.0,1.0,3.0,0.0,1,5.0,13.0,0
17,valid,27692.0,0.0,24.0,0.0,9.0,1.0,1,6.0,8.0,0
18,valid,12307.0,0.0,21.0,1.0,9.0,0.0,1,3.0,9.0,0
19,valid,18461.0,0.0,17.0,2.0,6.0,1.0,0,6.0,13.0,0
20,valid,9230.0,1.0,20.0,0.0,12.0,0.0,1,4.0,11.0,0
21,valid,18461.0,0.0,19.0,0.0,6.0,0.0,1,6.0,10.0,0
22,valid,18461.0,0.0,19.0,1.0,12.0,0.0,0,4.0,9.0,0
23,valid,9230.0,0.0,22.0,8.0,0.0,0.0,1,6.0,8.0,0
24,valid,9230.0,0.0,19.0,3.0,3.0,0.0,1,6.0,12.0,0
25,valid,12307.0,0.0,21.0,1.0,6.0,0.0,0,4.0,10.0,0
26,valid,9230.0,1.0,21.0,2.0,3.0,0.0,0,6.0,8.0,0
27,valid,9230.0,0.0,21.0,1.0,3.0,0.0,0,4.0,13.0,0
28,valid,18461.0,1.0,21.0,0.0,18.0,0.0,1,3.0,13.0,0
29,valid,6153.0,0.0,19.0,1.0,6.0,1.0,1,3.0,11.0,0
30,valid,12307.0,0.0,19.0,1.0,3.0,0.0,1,3.0,8.0,0
31,valid,15384.0,0.0,20.0,1.0,3.0,0.0,1,3.0,9.0,0
32,valid,9230.0,0.0,18.0,2.0,15.0,1.0,0,6.0,16.0,0
33,valid,6153.0,1.0,19.0,2.0,3.0,0.0,1,6.0,10.0,0
34,valid,6153.0,0.0,19.0,1.0,0.0,0.0,1,6.0,11.0,0
35,valid,3076.0,1.0,14.0,2.0,3.0,0.0,1,6.0,15.0,0
36,valid,12307.0,0.0,20.0,1.0,0.0,0.0,1,5.0,12.0,0
37,valid,12307.0,0.0,20.0,1.0,3.0,0.0,0,6.0,10.0,0
38,valid,21538.0,0.0,20.0,0.0,6.0,0.0,0,6.0,11.0,0
39,valid,6153.0,0.0,18.0,5.0,6.0,0.0,1,6.0,10.0,0
40,valid,12307.0,1.0,16.0,2.0,3.0,0.0,1,4.0,9.0,0
41,valid,6153.0,0.0,23.0,1.0,3.0,0.0,1,5.0,15.0,0
42,valid,9230.0,0.0,18.0,2.0,3.0,0.0,1,5.0,10.0,0
43,valid,9230.0,1.0,19.0,1.0,3.0,0.0,1,6.0,10.0,0
44,valid,21538.0,0.0,18.0,1.0,9.0,0.0,0,6.0,11.0,0
45,valid,18461.0,0.0,20.0,1.0,15.0,1.0,0,6.0,12.0,0
46,valid,15384.0,0.0,19.0,2.0,3.0,0.0,0,6.0,15.0,0
47,valid,0.0,1.0,19.0,2.0,3.0,2.0,1,4.0,10.0,0
48,valid,9230.0,0.0,22.0,2.0,6.0,0.0,1,6.0,10.0,0
49,valid,21538.0,1.0,20.0,2.0,6.0,0.0,1,5.0,11.0,0
50,valid,0.0,0.0,21.0,0.0,3.0,0.0,1,6.0,8.0,0
51,valid,21538.0,0.0,20.0,0.0,0.0,0.0,1,6.0,7.0,0
52,valid,3076.0,1.0,20.0,0.0,0.0,0.0,1,6.0,11.0,0
53,valid,6153.0,1.0,20.0,2.0,6.0,0.0,0,6.0,12.0,0
54,valid,18461.0,0.0,17.0,2.0,9.0,0.0,1,4.0,10.0,0
55,valid,9230.0,1.0,18.0,1.0,0.0,0.0,1,6.0,14.0,0
56,valid,9230.0,0.0,19.0,0.0,3.0,0.0,1,4.0,8.0,0
57,valid,6153.0,0.0,17.0,0.0,0.0,0.0,1,5.0,9.0,0
58,valid,9230.0,0.0,18.0,0.0,6.0,0.0,1,6.0,10.0,0
59,valid,12307.0,1.0,24.0,4.0,6.0,1.0,1,3.0,11.0,0
